id,finding_aid_link,title,type,number,group,digital_collection,category,subject,description
spec00887,https://search.lib.uidaho.edu/UID:CP71177976460001451,"William Charles McGowan Jr. Idaho athletics, 1936-40 : typescript, [1982]",MG,5420,MG 5420,,,,
spec00888,https://search.lib.uidaho.edu/UID:CP7198340920001451,"Eugene Duflot de Mofras 1810-1884. Don Wilkins tr. Oregon, translated from the French of Eugene Duflot de Mofras / typescript, 1937",MG,5421,MG 5421,,,,
spec00889,https://search.lib.uidaho.edu/UID:CP71143987320001451,"Lyman Trumbull Babcock; Bob Wiggins; and Lester S Harrison. Saga of early history covering a portion of Whitman County, Washington / typescript, [194-?]",MG,5422,MG 5422,,,,
spec00890,https://search.lib.uidaho.edu/UID:CP71143968340001451,"Charles E Simpson. Journal of ocurences kept during the voyage to the Snake country by Alexander Ross commenceing on tuesday 10th day of February 1824 / typescript, [ca. 1988]",MG,5423,MG 5423,,,,
spec00891,https://search.lib.uidaho.edu/UID:CP71159017910001451,"Idaho Institute of Christian Education. By-laws : typescript, [197-?]",MG,5424,MG 5424,,,,
spec00892,https://search.lib.uidaho.edu/UID:CP71136957800001451,"Idaho. Fish and Game Department. John R Woodworth. Recommended area to be managed for big game : typescript, 1963",MG,5425,MG 5425,,,,
spec00893,https://search.lib.uidaho.edu/UID:CP71162291850001451,"John Lloyd McMullen; M. Elsensohn (Mary Alfreda); St. Gertrude's Convent (Cottonwood, Idaho). Correspondence, 1961-1967",MG,5426,MG 5426,,,,
spec00894,https://search.lib.uidaho.edu/UID:CP71136965220001451,"Clifford Merrill Drury. Letter, Pasadena, Calif., to Earle Connette, Pullman, Wash., [1975?]",MG,5427,MG 5427,,,,
spec00895,https://search.lib.uidaho.edu/UID:CP71136962830001451,"Anetta C. Mow Elizabeth M Smith; Stephen J Lyons. Along the river and road of no return : typescript, Jan. 1972",MG,5428,MG 5428,,,,
spec00896,https://search.lib.uidaho.edu/UID:CP71136977770001451,"Leo J. Fenske Paul A Eke (Paul Axel Clarence); University of Idaho. Agricultural Economics Department. A consideration of earnings on state owned dry farm lands compared to earnings on privately owned dry farm lands in Madison and Teton counties / typescript, Sept. 1940",MG,5429,MG 5429,,,,
spec00897,https://search.lib.uidaho.edu/UID:CP71162292020001451,"Dorothy Ann Sturgeon. Eliza Spalding Warren collection, 1905-[1935]",MG,5430,MG 5430,,,,
spec00898,https://search.lib.uidaho.edu/UID:CP71162290800001451,"Claude O. Dye Papers, 1965-1970",MG,5431,MG 5431,,,,
spec00899,https://search.lib.uidaho.edu/UID:CP71162291720001451,"Drawings, 1956-1964",MG,5432,MG 5432,,,,
spec00900,https://search.lib.uidaho.edu/UID:CP71150227230001451,"George W. Ball civil engineer, of Idaho; William John McConnell 1839-1925; James H Van Camp; Thomas B Mulkey; Typescript, Oct. 24, 1894",MG,5433,MG 5433,,,,
spec00901,https://search.lib.uidaho.edu/UID:CP71161146210001451,"University of Idaho Campus Photograph album, [194-?]",MG,5434,MG 5434,,,,
spec00902,https://search.lib.uidaho.edu/UID:CP71162291090001451,"Thomas H. Felton. Papers relating to court reform, 1969-1970",MG,5435,MG 5435,,,,
spec00903,https://search.lib.uidaho.edu/UID:CP71133118950001451,"Iorwerth A. Griffiths. Borah funeral photographs, 1940",MG,5436,MG 5436,,,,
spec00904,https://search.lib.uidaho.edu/UID:CP71162290660001451,"Idaho. State Land Use Planning Committee. Karl Hobson; United States. Farm Security Administration. Land Utilization Division. Land Use Planning Section (Moscow, Idaho). Land use planning documents, 1937-1942",MG,5437,MG 5437,,,,
spec00905,https://search.lib.uidaho.edu/UID:CP71162305070001451,"University of Idaho. Committee on Graduate Instruction. Records, 1911-1921",MG,5438,MG 5438,,,,
spec00906,https://search.lib.uidaho.edu/UID:CP71162303270001451,"Carl L. von Ende scrapbook, 1907-1934",MG,5439,MG 5439,,,,
spec00907,https://search.lib.uidaho.edu/UID:CP71133114250001451,Herbert Sydney Duncombe Alwyn R Rouyer (Alwyn Rudolf). Short stories and poems / 1990,MG,5440,MG 5440,,,,
spec00908,https://search.lib.uidaho.edu/UID:CP71145703710001451,"Malcolm M. Renfrew interviewee. James J. Bohning interviewer. The Beckman Center for the History of Chemistry / typescript, on 31 Aug. 1987",MG,5441,MG 5441,,,,
spec00909,https://search.lib.uidaho.edu/UID:CP71145700500001451,"Idaho. State Land Use Planning Committee. Land ownership list: Gem to Washington County, Idaho : typescript, 1936",MG,5443,MG 5443,,,,
spec00910,https://search.lib.uidaho.edu/UID:CP71162304230001451,"James N. Hanrahan Wayne Darlington; Robert Strom; White Knob Copper Company. Mill site location notices, Feb. 9-Aug. 31, 1900",MG,5444,MG 5444,,,,
spec00911,https://search.lib.uidaho.edu/UID:CP71162300600001451,"Associated Foresters. Journal and ledger, 1935-1936",MG,5445,MG 5445,,,,
