accession_number,title,extent
UA 1995-07,College of Forestry Records,5.00 Cubic_feet
UA 1995-08,College of Forestry Records,4.00 Cubic_feet
UA 1995-24,College of Forestry Records,7.00 Cubic_feet
UA 1995-27,College of Forestry Records,1.00 Cubic_feet
UA 1996-015,College of Forestry Records,0.50 Cubic_feet
UA 1999-18,College of Forestry Records,1.00 Cubic_feet
UA 1996-06,College of Foresty Papers,1.00 Cubic_feet
UA 1996-01,College of Graduate Studies Records,1.00 Cubic_feet
UA 2002-16,College of Graduate Studies Records,1.00 Cubic_feet
UA 2011-11,College of Law Records,0.50 Cubic_feet
UA 1995-14,College of Mine Records,4.00 Cubic_feet
UA 2016-19,College of Mines and Earth Resources and College of Science Records,2.50 Cubic_feet
UA 1998-07,College of Mines and Earth Resources Photographs,0.50 Cubic_feet
UA 1997-16,College of Mines Records,9.00 Cubic_feet
UA 2017-31,College of Natural Resources College of Natural Resources Papers,6.00 Cubic_feet
UA 2009-13,College of Natural Resources Dean's Office Records,5.00 Cubic_feet
UA 2009-14,College of Natural Resources Dean's Office Records,3.00 Cubic_feet
UA 2010-01,College of Natural Resources Dean's Office Records,1.00 Cubic_feet
UA 2010-04,College of Natural Resources Dean's Office Records,6.00 Cubic_feet
UA 2010-05,College of Natural Resources Dean's Office Records,6.00 Cubic_feet
UA 2010-08,College of Natural Resources Dean's Office Records,3.00 Cubic_feet
UA 2010-09,College of Natural Resources Dean's Office Records,4.00 Cubic_feet
UA 2006-06,College of Natural Resources Dean's Records,1.00 Cubic_feet
MA 2016-27,College of Natural Resources Records,42.00 Cubic_feet
UA 2002-15,College of Natural Resources Records,0.50 Cubic_feet
UA 2015-02,College of Natural Resources Records,10.00 Cubic_feet
UA 2017-18,College of Natural Resources Records,1.00 Volumes
UA 2019-20,College of Natural Resources stereoscope equipment,4.00 Cubic_feet
UA 2016-15,College of Science Dean's Office Records,3.00 Cubic_feet
UA 1987-06,Commencement Committee Records,0.50 Cubic_feet
UA 1990-04,Commencement Committee Records,1.00 Cubic_feet
UA 2018-04,Committee on Committee Records,8.30 Megabytes
UA 1989-48,Committee on Committees Records,0.50 Cubic_feet
UA 1991-016,Committee on Committees Records,1.00 Cubic_feet
MA 2001-03,"Compton I. White, Sr. Collection",0.50 Cubic_feet
MA 2005-15,Conservation Photographs,0.50 Cubic_feet
MA 1992-23,Consortium for Internation Development Papers,1.00 Cubic_feet
UA 1980-053,Controller Inventory,88.00 Volumes
UA 1987-13,Controllers Office Records,0.50 Cubic_feet
UA 1997-10,Cooperative Extension Service Annual Reports,0.50 Cubic_feet
UA 1996-07,Cooperative Extension Service Records,0.50 Cubic_feet
UA 1995-25,Cooperative Extension System Annual Reports,0.50 Cubic_feet
UA 2000-09,Cooperative Wildlife Research Unit Photographs,0.50 Cubic_feet
UA 1985-04,Core Curriculum Committee Records,0.50 Cubic_feet
MA 2012-02,Counterculture Periodicals,4.00 Cubic_feet
MA 2013-18,Counterfeiters of Shingle Creek Papers,1.00 Folder
MA 2019-09,Craig Mountain Railway Company Conductor's Cash Fare Slip Booklet,1.00 Folder
UA 2015-09,Creative Services Records,0.10 Cubic_feet
MA 1997-06,Daily News Photographs,0.50 Cubic_feet
UA 1989-61,Dairy Science Photographs,1.00 Cubic_feet
MA 2019-01,Dale Gentry papers,0.50 Cubic_feet
MA 2016-24,Dan Bukvich Collection of Vibraphone Mallets owned by Lionel Hampton,1.00 Cubic_feet
UA 1999-13,Dan Gager Papers,0.50 Cubic_feet
MA 2011-27,David Engerbretson Papers,7.00 Cubic_feet
MA 2011-43,David J. Lau Vardis Fisher Books,15.00 Volumes
MA 2010-12,David Schrader Papers,1.00 Folder
UA 2004-11,Dean of Library Records,1.00 Cubic_feet
UA 2004-12,Dean of Library Records,2.00 Cubic_feet
UA 2015-39,Dean of Students Office Records,0.25 Linear feet
UA 2001-12,Dean of Students Records,1.00 Cubic_feet
UA 2002-08,Dean of Students Records,0.50 Cubic_feet
UA 2002-27,Dean of Students Records,2.00 Cubic_feet
UA 2003-13,Dean of Students Records,4.00 Cubic_feet
UA 2004-09,Dean of Students Records,1.00 Cubic_feet
UA 2005-07,Dean of Students Records,1.00 Cubic_feet
UA 2009-04,Dean of Students Records,2.00 Cubic_feet
MA 2006-14,Dennis Baird Papers,1.00 Cubic_feet
MA 2009-34,Dennis Baird Papers,0.50 Cubic_feet
MA 2011-23,Dennis Baird Papers,Oversized
MA 2011-24,Dennis Baird Papers,Oversized
MA 2011-45,Dennis Baird Papers,0.25 Cubic_feet
MA 2012-12,Dennis Baird Papers,0.25 Cubic_feet
MA 2012-23,Dennis Baird Papers,3.00 Cubic_feet
MA 2014-16,Dennis Baird Papers,0.50 Cubic_feet
MA 2014-25,Dennis Baird Papers,Oversized
MA 2014-43,Dennis Baird Papers,2.00 Cubic_feet
MA 2014-44,Dennis Baird Papers,1.00 Cubic_feet
MA 2014-45,Dennis Baird Papers,4.00 Cubic_feet
MA 2015-10,Dennis Baird Papers,0.30 Cubic_feet
MA 2015-20,Dennis Baird Papers,3.00 Cubic_feet
MA 2015-25,Dennis Baird Papers,1.00 Folder
MA 2016-14,Dennis Baird Papers,0.50 Cubic_feet
MA 2018-10,Dennis Baird Papers,0.25 Cubic_feet
MA 2018-18,Dennis Baird Papers,2.00 Cubic_feet
MA 2018-48,Dennis Baird Papers,1.00 Folder
MA 2004-06,Dennis Baird Salmon Recovery File,1.00 Cubic_feet
UA 1997-22,Department of Entomology Records,1.50 Cubic_feet
UA 2014-03,Department of Fish and Wildlife Sciences Records,4.00 Cubic_feet
UA 2005-05,Department of Journalism and Mass Media Records,2.00 Cubic_feet
UA 2018-03,Department of Plant Science Records,4.00 Cubic_feet
UA 2013-09,Department of Sociology and Anthropology Records,0.25 Cubic_feet
UA 2009-20,Deptartment of Conservervation Social Sciences Records,3.00 Cubic_feet
UA 1999-19,Deptartment of Industrial Technology Education Phi-Chi-Theta scrapbooks,0.50 Cubic_feet
UA 1990-26,Development Office Records,1.00 Cubic_feet
UA 2002-25,Development Office Records,5.00 Cubic_feet
MA 2018-33,Dick A. Wilson Papers,0.50 Linear_feet
MA 2006-02,Dick Pugh Photographs,0.25 Cubic_feet
MA 2015-41,Dirk Kempthorne Papers,31.00 Cubic_feet
MA 1998-22,Dirk Kempthorne Senatorial Records,220.00 Cubic_feet
UA 1994-16,Disabled Student Services Records,1.00 Cubic_feet
UA 2019-59,Division of Student Affairs & Enrollment Management Photograph,1.00 Photographic Print
MA 2000-42,Dixie Ehrenreich Papers,20.00 Cubic_feet
MA 1991-53,Donald B. Robertson Photograph Collection,0.50 Cubic_feet
MA 1987-25,Donald R. Scott Papers,0.50 Cubic_feet
MA 2013-15,Donald R. Theophilus Papers,3.00 Cubic_feet
MA 2008-28,Donna Hanson Idaho Library Association,2.00 Folder
MA 1996-35,Donna Hanson Papers,2.00 Cubic_feet
MA 2002-01,Donna Hanson Papers,8.00 Cubic_feet
MA 2005-03,Donna Hanson Papers,1.00 Cubic_feet
MA 2009-06,Donna M. Hanson Papers,1.00 Folder
UA 2015-06,Donor Relations Records,1.00 Cubic_feet
UA 2020-01,Dora Mih Retirement Party photos,1.00 Folder
MA 1996-18,Dorothy S. Hole Papers,1.00 Cubic_feet
MA 2002-26,Dorothy S. Ross Papers,3.00 Cubic_feet
MA 2005-11,Duane D. Cap Davis Films,1.00 Cubic_feet
MA 1991-57,Duane LeTourneau Papers,0.50 Cubic_feet
MA 1992-02,Duane LeTourneau Papers,0.50 Cubic_feet
MA 2012-14,Duke Parkening Collection,140.00 Volumes
MA 1995-14,Dwight Hoffman Papers,0.50 Cubic_feet
MA 1995-27,Dwight Hoffman Papers,4.00 Cubic_feet
MA 1996-15,Dwight Hoffman Papers,1.00 Cubic_feet
MA 1998-21,Dwight Smithson Jeffers Papers,1.00 Cubic_feet
MA 2011-16,Dworshak Dam Core,0.25 Cubic_feet
MA 2016-41,Earl Bennett Papers,1.00 Folder
MA 1993-20,Earl E. Gray Papers,1.00 Cubic_feet
MA 2009-31,Earl H. Bennett Papers,1.00 Cubic_feet
MA 2015-06,Earl J. Larrison Retirement Scrapbook,0.50 Cubic_feet
MA 2018-36,Ed Hudson Papers,0.50 Linear_feet
MA 2010-24,Ed Mielke Photographs,1.00 Folder
UA 2016-07,Ed Rauw Argonaut Newspapers,0.25 Linear feet
UA 2016-36,Ed Rauw Collection,1.00 Cubic_feet
UA 1987-04,Edith Betts Papers,0.50 Cubic_feet
MA 2008-37,Edna Mildred Peterson Papers,0.30 Cubic_feet
MA 2007-22,Edson R. Peck Papers,7.00 Cubic_feet
MA 1997-21,Edwin Fulwider Papers,0.50 Cubic_feet
MA 1992-16,Eleanor K. Heningham Papers,2.50 Cubic_feet
MA 1999-20,Elisabeth Lapeyre Collection,1.00 Cubic_feet
MA 1989-36,Elizabeth Steinhagen Committee Reocrds,0.50 Cubic_feet
UA 2015-07,Elizabeth Zinser Wedding Fan,0.00 null
UA 2017-03,Ella Walby Collection,0.50 Cubic_feet
