CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
FCS205,Family and Consumer Sciences,1,Concepts in Human Nutrition,"Chen, Yimin",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,fcs205&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FCS240,Family and Consumer Sciences,1,Intimate Relationships,"Chapman, Erin Noelle",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,fcs240&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FCS270,Family and Consumer Sciences,1,Scientific Principles of Food Preparation,"Miner, Katie Rebecca",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,fcs270&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FCS323,Family and Consumer Sciences,1,Apparel Product Development,"Wahl, Lori Ann",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,fcs323&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FCS440,Family and Consumer Sciences,1,Contemporary Family Relationships,"Chapman, Erin Noelle",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,fcs440&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FIN463,Finance,1,Portfolio Management,"Dacey, Raymond",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,FIN463&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FISH481,Fishery Resources,1,Ichthyology,"Caudill, Christopher C.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,fish481&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FLEN391,Foreign Language--English,1,Hispanic Film,"Kerr, Ashley E",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,flen391&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FOR275,Forest Resources,1,Forestry Resource Sampling,"Kimsey, Mark James",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,for275&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FOR404,Forest Resources,1,Business of Forestry,"Shook, Steven R.",,
